Scheduled Departure,Date,Destination Code,Destination City,Flight Number,Airline,Status,Actual Departure Time
07:20,02 Dec,MDQ,Mar Del Plata,AR1602,Aerolineas Argentinas,Departed,07:37
07:25,02 Dec,CNQ,Corrientes,AR1770,Aerolineas Argentinas,Departed,07:31
07:35,02 Dec,MDZ,Mendoza,AR1404,Aerolineas Argentinas,Departed,07:44
07:35,02 Dec,GIG,Rio De Janeiro,AR1260,Aerolineas Argentinas,Departed,07:47
07:45,02 Dec,TUC,Tucuman,AR1482,Aerolineas Argentinas,Departed,08:02
08:10,02 Dec,MDZ,Mendoza,AR1412,Aerolineas Argentinas,Departed,08:20
08:30,02 Dec,RGL,Rio Gallegos,AR1800,Aerolineas Argentinas,Departed,09:08
08:45,02 Dec,FMA,Formosa,AR1768,Aerolineas Argentinas,Departed,09:10
08:55,02 Dec,BHI,Bahia Blanca,AR1620,Aerolineas Argentinas,Departed,09:17
08:55,02 Dec,MDQ,Mar Del Plata,AR1604,Aerolineas Argentinas,Departed,09:06
09:10,02 Dec,CPC,San Martin De Los Andes,AR1672,Aerolineas Argentinas,Departed,09:22
09:10,02 Dec,GRU,Sao Paulo,AR1248,Aerolineas Argentinas,Departed,09:29
09:15,02 Dec,CTC,Catamarca,AR1442,Aerolineas Argentinas,Departed,09:32
09:40,02 Dec,MDZ,Mendoza,AR1400,Aerolineas Argentinas,Departed,09:59
09:40,02 Dec,SLA,Salta,AR1456,Aerolineas Argentinas,Departed,09:49
09:40,02 Dec,LUQ,San Luis,AR1430,Aerolineas Argentinas,Departed,10:05
09:50,02 Dec,IGR,Iguazu,AR1736,Aerolineas Argentinas,Departed,10:10
10:15,02 Dec,BRC,San Carlos de Bariloche,AR1684,Aerolineas Argentinas,Departed,10:46
10:15,02 Dec,MVD,Montevideo,AR1384,Aerolineas Argentinas,Departed,10:27
10:35,02 Dec,IRJ,La Rioja,AR1440,Aerolineas Argentinas,Departed,10:44
