TIME,FLIGHT,TO,AIRLINE,AIRCRAFT,,STATUS
16:55,FO5190,Jujuy (JUJ),Flybondi,B738 (LV-KEF),,Unknown
17:00,FO5018,Cordoba (COR),Flybondi,B738 (LV-KJE),,Departed 16:39
17:05,AR1350,Punta del Este (PDP),Aerolineas Argentinas,E190 (LV-CMB),,Departed 17:57
17:10,LA2381,Lima (LIM),LATAM Airlines,A320 (CC-BFU),,Departed 17:26
17:20,AR1638,San Carlos de Bariloche (BRC),Aerolineas Argentinas,B738 (LV-FQC),,Departed 17:37
17:20,AR1822,Comodoro Rivadavia (CRD),Aerolineas Argentinas,E190 (LV-CHS),,Departed 17:33
17:25,AR1848,El Calafate (FTE),Aerolineas Argentinas,B738 (LV-GGK),,Departed 17:52
17:30,AR1544,Cordoba (COR),Aerolineas Argentinas,E190 (LV-CPJ),,Departed 18:17
17:30,FO6104,Puerto Iguazu (IGR),Flybondi,738,,Unknown
17:55,AR1402,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-FQZ),,Departed 18:26
17:55,G37685,Sao Paulo (GRU),GOL Linhas Aereas,B38M (PS-GPD),,Departed 18:30
17:55,AR1386,Montevideo (MVD),Aerolineas Argentinas,E190 (LV-CMA),,Departed 18:04
18:05,AR1472,Jujuy (JUJ),Aerolineas Argentinas (Retro Livery),B737 (LV-GOO),,Departed 18:34
18:20,AR1232,Porto Alegre (POA),Aerolineas Argentinas,B738 (LV-FVO),,Departed 18:49
18:20,AR1438,Merlo (RLO),Aerolineas Argentinas,E190 (LV-CEU),,Departed 18:46
18:20,AR1496,Salta (SLA),Aerolineas Argentinas,B738 (LV-FXQ),,Departed 18:37
18:20,LA8035,Sao Paulo (GRU),LATAM Airlines,A320 (PR-TQC),,Departed 18:21
18:20,FO5166,Salta (SLA),Flybondi,738,,Unknown
18:25,FO5278,San Carlos de Bariloche (BRC),Flybondi,B738 (LV-KEH),,Unknown
18:30,AR1520,Santa Rosa (RSA),Aerolineas Argentinas,E190 (LV-CID),,Departed 18:43
18:30,FO5304,Neuquen (NQN),Flybondi,B738 (LV-KEG),,Departed 19:27
18:35,AR1424,San Juan (UAQ),Aerolineas Argentinas (Skyteam Livery),B737 (LV-BZA),,Departed 18:57
18:45,AR1654,Neuquen (NQN),Aerolineas Argentinas,B738 (LV-CXT),,Departed 19:01
18:45,FO5118,Puerto Iguazu (IGR),Flybondi,B738 (LV-KGN),,Unknown
18:50,AR1364,Lima (LIM),Aerolineas Argentinas,B38M (LV-GVD),,Departed 19:17
18:50,AR1740,Puerto Iguazu (IGR),Aerolineas Argentinas,E190 (LV-FPT),,Departed 19:07
18:59,FO5190,Jujuy (JUJ),Flybondi,B738 (LV-KEF),,Departed 19:35
19:00,AR1416,Mendoza (MDZ),Aerolineas Argentinas,B738 (LV-GVA),,Departed 20:45
19:10,AR1220,Salvador (SSA),Aerolineas Argentinas,B38M (LV-HKW),,Departed 19:30
19:20,AR1490,Santiago del Estero (SDE),Aerolineas Argentinas (SkyTeam Livery),E190 (LV-FPS),,Departed 19:32
19:20,WJ3270,Cordoba (COR),JetSMART (King Penguin Livery),A320 (LV-JQE),,Departed 19:21
19:30,AR1282,Santiago (SCL),Aerolineas Argentinas,B738 (LV-GGQ),,Departed 19:40
19:35,AR1762,Posadas (PSS),Aerolineas Argentinas,E190 (LV-CPI),,Departed 19:53
19:40,LA8139,Sao Paulo (GRU),LATAM Airlines,A320 (PR-MBH),,Departed 19:48
19:45,FO5114,Puerto Iguazu (IGR),Flybondi,B738 (LV-KGN),,Departed 20:02
